Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
4,,CLE,Home,2017,49,32,0.605,3.19,332,81,77,4,1,12,737,643,275,261,90,176,7,21,847,21,0,23,2964,1.111,10.34,4.81,2747,643,135,5,90,25,21,0.234,0.284,0.385,0.669,176,847,1058,64,21,9,11,7,0.304,98,82
13,,CLE,Home,2008,45,36,0.556,4.03,296,81,76,5,4,15,744,766,355,333,65,233,13,31,529,28,2,22,3152,1.343,6.4,2.27,2853,766,150,6,65,33,15,0.268,0.327,0.394,0.721,233,529,1123,90,28,13,24,13,0.307,92,98
18,,CLE,Home,2003,38,43,0.469,3.6,297,81,79,2,2,18,756,718,350,302,72,247,10,31,518,33,3,26,3162,1.276,6.17,2.1,2836,718,149,12,72,50,27,0.253,0.318,0.39,0.708,247,518,1107,84,33,25,21,10,0.285,88,92
7,,KCR,Home,2014,42,39,0.519,3.89,322,81,79,2,2,28,740,750,342,320,59,214,9,22,591,32,4,38,3134,1.303,7.19,2.76,2846,750,138,16,59,45,19,0.264,0.319,0.385,0.704,214,591,1097,63,32,11,31,9,0.31,105,105
10,,KCR,Home,2011,40,41,0.494,4.22,306,81,80,1,0,15,750,756,372,352,68,289,16,29,531,36,5,31,3240,1.393,6.37,1.84,2863,756,164,22,68,58,27,0.264,0.337,0.408,0.745,289,531,1168,62,36,28,24,16,0.301,96,111
14,,KCR,Home,2007,35,46,0.432,4.61,308,81,81,0,0,19,734,812,399,376,79,266,24,20,501,17,3,22,3213,1.469,6.14,1.88,2874,812,219,13,79,34,12,0.283,0.343,0.45,0.794,266,501,1294,70,17,22,32,24,0.315,102,112
16,,KCR,Home,2005,34,47,0.42,5.2,307,81,79,2,0,17,736.2,829,450,426,80,280,13,30,476,37,3,39,3264,1.505,5.82,1.7,2907,829,185,20,80,25,23,0.285,0.353,0.445,0.798,280,476,1294,73,37,17,22,13,0.316,94,118
18,,KCR,Home,2003,40,40,0.5,6.01,298,80,78,2,1,15,728,844,512,486,113,291,17,28,409,34,6,35,3292,1.559,5.06,1.41,2907,844,168,17,113,51,20,0.29,0.357,0.476,0.834,291,409,1385,46,34,21,39,17,0.302,108,125
4,,DET,Home,2017,34,47,0.42,5.38,345,81,80,1,1,12,739,821,462,442,108,261,12,22,584,34,2,27,3249,1.464,7.11,2.24,2915,821,146,21,108,35,18,0.282,0.344,0.457,0.801,261,584,1333,73,34,4,35,12,0.316,98,118
10,,DET,Home,2011,50,31,0.617,4.03,297,81,79,2,1,24,732,733,358,328,64,225,15,34,525,29,3,41,3109,1.309,6.45,2.33,2805,733,137,21,64,66,25,0.261,0.319,0.394,0.713,225,525,1104,56,29,18,32,15,0.298,99,102
